id_cliente,meses_de_casa,valor_mensal,entregas_atrasadas,plano,cancelou
297,41,38.5,1,Degustação,0
298,22,38.92,0,Degustação,0
299,14,33.55,0,Degustação,0
300,2,70.16,0,Clássico,1
301,18,46.66,1,Degustação,1
302,40,130.74,0,Premium,1
303,1,128.01,0,Premium,0
304,44,135.11,0,Premium,0
305,27,79.21,1,Clássico,0
306,7,125.26,1,Premium,1
307,15,44.42,1,Degustação,1
308,27,86.2,2,Clássico,0
309,16,41.92,2,Degustação,1
310,6,117.99,2,Premium,0
311,32,63.5,1,Clássico,0
312,33,119.33,1,Premium,0
313,6,30.0,2,Degustação,0
314,14,125.28,1,Premium,1
315,12,81.42,0,Clássico,1
316,32,87.33,0,Clássico,0
317,36,120.26,0,Premium,0
318,35,36.27,0,Degustação,0
319,46,52.85,0,Degustação,0
320,37,77.93,2,Clássico,1
321,16,40.35,0,Degustação,0
322,6,47.52,2,Degustação,1
323,30,35.27,0,Degustação,0
324,44,55.07,1,Degustação,0
325,47,131.87,2,Premium,0
326,12,82.85,0,Clássico,1
327,12,43.99,2,Degustação,1
328,2,74.08,3,Clássico,1
329,7,78.16,0,Clássico,1
330,27,67.65,0,Clássico,0
331,27,125.74,1,Premium,0
332,18,145.62,2,Premium,1
333,15,47.03,1,Degustação,1
334,40,61.28,1,Degustação,0
335,23,62.59,1,Clássico,0
336,39,85.6,0,Clássico,0
337,47,72.11,2,Clássico,0
338,16,75.81,2,Clássico,1
339,10,69.29,1,Clássico,1
340,46,55.62,2,Degustação,0
341,31,42.85,0,Degustação,0
342,14,40.85,1,Degustação,1
343,30,42.72,1,Degustação,0
344,25,48.57,1,Degustação,1
345,44,69.13,0,Clássico,0
346,13,44.26,2,Degustação,0
347,48,42.23,1,Degustação,0
348,45,77.78,1,Clássico,0
349,9,116.84,1,Premium,0
350,8,55.27,2,Degustação,0
351,26,130.43,0,Premium,0
352,3,121.1,3,Premium,1
353,15,73.89,0,Clássico,0
354,21,81.65,1,Clássico,0
355,47,44.2,1,Degustação,0
356,48,125.55,2,Premium,0
357,8,61.1,0,Degustação,1
358,43,129.99,1,Premium,0
359,5,82.17,1,Clássico,1
360,36,45.64,2,Degustação,1
361,41,57.5,0,Degustação,0
362,43,81.25,0,Clássico,0
363,11,80.67,0,Clássico,1
364,43,47.5,0,Degustação,1
365,6,90.04,1,Clássico,1
366,25,112.72,1,Premium,1
367,23,71.53,0,Clássico,0
368,16,78.62,2,Clássico,1
369,2,51.74,0,Degustação,1
370,38,130.66,0,Premium,0
371,17,39.93,1,Degustação,1
372,32,142.32,0,Premium,1
373,20,39.02,0,Degustação,0
374,18,86.93,2,Clássico,0
375,43,48.22,1,Degustação,0
376,5,51.92,0,Degustação,0
377,36,125.83,0,Premium,0
378,36,87.85,6,Clássico,1
379,19,69.05,0,Clássico,0
380,13,130.82,0,Premium,0
381,1,136.17,1,Premium,1
382,45,127.85,2,Premium,0
383,46,45.28,0,Degustação,0
384,12,76.81,0,Clássico,0
385,2,124.93,0,Premium,0
386,6,36.0,2,Degustação,0
387,4,35.48,0,Degustação,1
388,40,113.07,0,Premium,0
389,43,88.51,0,Clássico,0
390,8,82.56,2,Clássico,0
391,36,133.49,1,Premium,0
392,9,80.37,1,Clássico,1
393,18,77.48,0,Clássico,0
394,29,35.01,1,Degustação,1
395,35,76.31,1,Clássico,0
396,42,32.63,0,Degustação,0
397,3,128.21,3,Premium,1
398,10,121.91,1,Premium,0
399,14,45.77,0,Degustação,1
400,15,52.88,0,Degustação,0
