id_imovel,area_m2,quartos,idade_anos,bairro,aluguel
144,82.7,2,27,Centro,3089.9
145,98.1,3,1,Centro,3636.54
146,41.0,2,16,Centro,2033.34
147,75.8,1,35,Centro,1940.36
148,60.0,1,24,Vila Nova,1447.98
149,61.1,2,18,Jardins,3085.23
150,119.3,4,37,Vila Nova,3603.62
151,61.5,1,34,Vila Nova,1665.58
152,76.8,1,13,Centro,2762.51
153,29.2,1,22,Vila Nova,600.0
154,130.2,4,20,Vila Nova,4303.53
155,95.8,4,25,Jardins,4243.71
156,66.3,2,13,Jardins,3171.99
157,58.9,2,10,Jardins,2706.7
158,86.0,2,37,Centro,2811.66
159,107.5,3,37,Jardins,3614.01
160,131.0,4,34,Vila Nova,4099.07
161,94.5,2,39,Vila Nova,2198.2
162,69.9,3,30,Centro,2563.34
163,100.4,4,31,Vila Nova,3173.5
164,92.9,3,31,Centro,3409.5
165,70.0,2,19,Vila Nova,2113.86
166,91.8,3,18,Centro,3038.47
167,91.1,3,10,Vila Nova,2854.36
168,66.1,2,26,Vila Nova,2312.93
169,54.2,2,12,Centro,2274.43
170,87.9,3,10,Centro,3097.61
171,43.0,2,23,Vila Nova,1380.46
172,38.8,1,16,Centro,1115.01
173,77.3,2,9,Jardins,3642.27
174,86.9,2,33,Vila Nova,2006.48
175,77.1,2,34,Jardins,3470.48
176,80.5,2,7,Centro,2878.11
177,28.0,1,0,Jardins,2793.74
178,86.3,3,13,Centro,2848.39
179,119.5,4,32,Vila Nova,3642.22
180,95.2,3,34,Centro,3592.99
181,94.0,3,6,Centro,3692.4
182,74.9,3,31,Centro,2488.0
183,76.0,2,5,Vila Nova,2510.17
184,63.9,2,16,Centro,2341.28
185,79.6,2,40,Vila Nova,2259.81
186,42.0,1,8,Vila Nova,1198.86
187,119.7,3,6,Vila Nova,3708.7
188,47.1,1,17,Vila Nova,1009.18
189,95.1,3,25,Vila Nova,2963.03
190,113.5,3,37,Vila Nova,3375.98
191,95.0,4,39,Centro,3225.65
192,158.5,4,3,Vila Nova,4531.32
193,28.0,1,6,Jardins,2391.93
194,55.7,2,32,Jardins,2868.47
195,112.7,3,11,Vila Nova,3327.42
196,38.1,1,35,Vila Nova,929.56
197,47.7,1,27,Vila Nova,953.05
198,84.1,2,4,Jardins,3501.4
199,69.6,2,33,Jardins,2971.65
200,82.0,2,7,Centro,3186.19
201,72.0,2,17,Centro,2371.37
202,74.8,2,22,Centro,2708.18
203,49.8,1,20,Centro,1609.9
204,73.8,2,27,Centro,2531.96
205,57.4,2,26,Vila Nova,1737.61
206,60.7,2,40,Jardins,3038.58
207,94.6,3,40,Vila Nova,2630.4
208,37.3,1,21,Jardins,1832.33
209,28.0,1,4,Centro,1016.43
210,91.7,2,29,Centro,2769.23
211,73.8,2,39,Centro,2042.27
212,113.4,3,13,Vila Nova,3610.58
213,48.3,2,18,Centro,1806.65
214,65.2,2,17,Jardins,3754.65
215,70.7,2,2,Vila Nova,1911.65
216,52.4,1,27,Vila Nova,1491.87
217,45.7,1,14,Centro,1418.03
218,93.6,3,31,Centro,3002.54
219,35.7,1,33,Centro,1294.15
220,42.4,1,33,Centro,850.08
221,64.3,2,17,Centro,2400.63
222,98.1,3,13,Jardins,4699.95
223,53.9,1,30,Vila Nova,1333.63
224,51.0,2,32,Jardins,2718.65
225,62.7,2,20,Jardins,3328.13
226,78.9,2,36,Centro,2473.58
227,58.7,2,6,Vila Nova,1863.96
228,103.3,2,35,Jardins,3361.16
229,105.1,3,4,Vila Nova,3548.48
230,64.3,2,6,Vila Nova,2118.36
231,140.3,3,21,Centro,4141.9
232,70.0,1,3,Centro,2454.67
233,103.6,2,2,Centro,3323.19
234,78.0,2,0,Jardins,3516.81
235,77.4,2,17,Vila Nova,2511.22
236,31.9,1,31,Centro,854.3
237,40.8,2,1,Vila Nova,1868.26
238,60.0,1,26,Jardins,2388.77
239,104.7,3,33,Centro,3223.55
240,78.4,3,7,Centro,3474.14
241,60.2,1,6,Vila Nova,2128.0
242,87.3,2,34,Vila Nova,2461.7
243,103.1,3,33,Jardins,3914.16
244,68.2,2,22,Centro,2256.64
245,74.6,2,33,Vila Nova,2154.98
246,70.6,3,4,Centro,2838.48
247,66.4,3,16,Vila Nova,2279.26
248,48.1,1,30,Centro,1599.06
249,46.5,2,10,Centro,1904.94
250,87.0,3,30,Jardins,3414.56
251,104.0,4,20,Jardins,4368.0
252,60.1,2,30,Jardins,3132.21
253,59.6,2,19,Jardins,2661.0
254,28.0,1,15,Vila Nova,905.45
255,28.0,2,9,Jardins,2107.39
256,114.9,4,8,Jardins,4916.33
257,49.4,1,30,Jardins,2338.46
258,163.2,4,5,Centro,5702.33
259,53.2,1,3,Jardins,2923.13
260,32.4,1,7,Centro,1112.69
261,70.9,2,7,Jardins,3569.7
262,93.2,3,33,Centro,2906.69
263,88.9,3,16,Vila Nova,2719.69
264,97.0,3,40,Jardins,4007.45
265,43.9,1,5,Vila Nova,1319.21
266,113.7,3,26,Jardins,4705.3
267,116.5,2,18,Centro,3439.39
268,118.6,4,16,Vila Nova,3653.3
269,75.6,2,35,Jardins,3077.03
270,58.2,1,39,Vila Nova,1322.86
271,56.0,2,35,Jardins,3025.02
272,32.4,1,8,Jardins,2389.35
273,53.7,1,9,Vila Nova,2082.7
274,28.0,1,26,Jardins,2504.48
275,30.3,1,12,Centro,1084.34
276,75.3,2,29,Vila Nova,2206.79
277,61.0,1,23,Vila Nova,1404.78
278,74.0,2,22,Vila Nova,2034.66
279,90.3,3,33,Centro,2867.46
280,79.6,2,28,Jardins,3141.56
281,76.8,3,1,Vila Nova,2446.99
282,65.5,2,2,Jardins,3282.7
283,48.7,1,24,Vila Nova,1071.85
284,38.3,1,19,Jardins,2473.2
285,54.4,2,10,Centro,1925.34
286,66.0,2,17,Vila Nova,2784.95
287,69.5,2,30,Centro,2220.77
288,97.1,3,33,Centro,3214.66
289,63.5,2,22,Jardins,2740.19
290,84.9,3,15,Vila Nova,3194.88
291,34.5,1,11,Vila Nova,1432.96
292,75.8,2,21,Centro,2659.54
293,73.6,2,13,Centro,2276.61
294,113.8,3,23,Vila Nova,3470.93
295,61.0,2,27,Centro,1874.95
296,59.9,2,3,Centro,2737.87
297,90.5,1,0,Centro,3164.79
298,39.6,1,8,Jardins,2429.52
299,74.9,2,36,Vila Nova,1506.85
300,38.7,1,26,Vila Nova,863.57
