id_cliente,meses_de_casa,valor_mensal,chamados_suporte,plano,cancelou
382,45,130.76,0,Premium,0
383,46,110.51,1,Premium,0
384,12,122.13,3,Premium,0
385,2,135.5,2,Premium,0
386,6,39.16,0,Básico,1
387,4,139.7,1,Premium,1
388,40,82.91,0,Padrão,0
389,43,77.92,1,Padrão,0
390,8,138.87,0,Premium,1
391,36,117.26,1,Premium,0
392,9,69.19,1,Padrão,1
393,18,72.76,2,Padrão,0
394,29,62.99,1,Padrão,1
395,35,50.91,1,Básico,1
396,42,38.11,0,Básico,0
397,3,25.75,2,Básico,1
398,10,33.57,2,Básico,1
399,14,44.41,3,Básico,1
400,15,132.41,2,Premium,0
