id_torra,temperatura_c,tempo_min,boa
302,187.4,8.9,0
303,209.5,6.5,0
304,208.3,11.3,1
305,227.2,16.6,0
306,205.5,13.2,1
307,201.2,11.5,1
308,215.2,7.2,0
309,194.7,8.8,1
310,187.7,9.2,1
311,206.3,14.4,1
312,202.9,15.6,0
313,192.8,15.9,0
314,200.2,16.8,0
315,200.2,16.8,0
316,198.0,16.5,0
317,200.9,6.8,0
318,217.7,7.5,0
319,196.3,9.3,1
320,232.2,12.1,0
321,230.4,7.1,0
322,206.5,15.3,0
323,198.1,12.8,1
324,209.4,12.0,1
325,226.7,7.8,0
326,215.9,8.8,1
327,224.2,7.8,0
328,209.3,15.4,0
329,214.8,12.4,1
330,195.8,14.1,1
331,220.4,9.3,0
332,191.1,10.1,1
333,218.2,10.5,1
334,227.3,14.4,0
335,187.3,14.5,0
336,213.8,8.3,1
337,185.2,16.4,0
338,219.9,7.3,0
339,184.6,15.9,0
340,231.5,7.1,0
341,187.6,8.9,0
342,232.7,15.3,0
343,224.0,8.0,0
344,212.7,10.5,1
345,223.0,10.9,0
346,223.7,8.7,0
347,232.0,13.8,0
348,193.9,15.4,0
349,212.5,15.6,0
350,185.2,9.7,1
351,213.9,11.8,1
352,189.4,8.7,0
353,211.1,8.7,1
354,211.5,7.8,0
355,205.6,16.3,0
356,208.7,15.8,1
357,222.0,14.6,0
358,224.0,11.7,1
359,207.1,11.4,1
360,213.0,11.8,1
361,231.2,11.9,0
362,186.6,10.8,0
363,186.4,7.4,0
364,184.8,7.4,0
365,216.2,16.5,0
366,203.0,11.3,1
367,222.6,16.5,0
368,216.9,7.8,0
369,198.4,12.1,1
370,229.4,8.3,0
371,221.9,8.8,0
372,194.9,6.3,0
373,200.0,7.3,0
374,197.3,16.1,0
375,188.7,9.5,1
376,188.1,12.7,0
377,231.5,11.1,0
378,204.1,10.4,1
379,201.1,11.9,1
380,220.1,8.1,0
381,210.4,16.9,0
382,231.5,15.0,0
383,222.9,14.2,0
384,206.4,11.2,1
385,200.7,7.7,0
386,234.3,16.1,0
387,219.5,9.8,1
388,232.3,6.6,0
389,186.5,9.8,0
390,226.8,14.7,0
391,215.0,12.8,1
392,186.7,14.3,0
393,212.4,14.7,0
394,217.7,8.3,0
395,180.7,16.2,0
396,205.0,10.8,1
397,225.4,13.0,0
398,196.2,6.0,0
399,205.2,16.9,0
400,204.3,9.1,1
401,196.6,6.7,0
402,230.5,11.0,0
403,223.0,7.4,0
404,186.1,7.7,0
405,234.8,13.0,0
406,228.4,10.3,0
407,195.6,16.1,0
408,226.0,9.5,0
409,185.9,14.0,0
410,235.0,11.1,0
411,216.6,13.3,1
412,215.8,12.6,1
413,185.0,11.2,0
414,229.3,16.5,0
415,181.6,9.8,0
416,193.2,7.9,0
417,187.9,13.5,0
418,222.7,15.3,0
419,190.9,6.4,0
420,230.1,10.9,0
421,216.1,15.8,0
422,182.0,14.2,0
423,180.3,16.9,0
424,182.8,11.8,0
425,213.3,13.3,1
426,224.1,9.3,0
427,193.1,16.4,0
428,226.7,10.0,0
429,183.1,14.1,0
430,224.1,10.4,0
431,231.0,12.2,0
432,222.5,13.9,0
433,218.4,11.6,1
434,226.1,16.0,0
435,182.2,10.6,0
436,191.1,13.1,1
437,186.9,9.8,0
438,207.7,10.5,1
439,221.0,10.8,0
440,214.7,7.4,1
441,226.8,7.0,0
442,188.5,13.3,0
443,220.4,13.2,0
444,190.6,13.3,0
445,194.9,6.2,0
446,219.0,9.6,1
447,233.9,8.2,0
448,213.6,14.6,0
449,183.0,15.5,0
450,213.9,8.7,1
451,182.3,13.3,0
452,228.6,7.4,0
453,219.0,9.0,0
454,189.5,7.5,0
455,185.0,9.1,0
456,190.1,13.4,0
457,233.9,16.0,0
458,205.2,8.2,1
459,223.1,12.0,0
460,215.0,13.7,0
461,211.5,16.5,0
462,188.0,12.7,0
463,232.0,8.8,0
464,196.6,12.9,0
465,211.8,9.5,1
466,218.5,16.7,0
467,215.7,10.4,1
468,231.7,13.5,0
469,188.2,6.3,0
470,208.0,10.4,1
471,202.2,15.6,0
472,206.1,12.7,1
473,186.6,10.9,1
474,187.4,16.3,0
475,195.3,15.4,0
476,196.8,9.5,1
477,203.5,12.0,1
478,213.6,11.4,1
479,214.9,13.0,1
480,202.6,9.7,1
481,202.5,8.7,1
482,192.0,16.0,0
483,212.4,16.2,0
484,197.4,15.3,0
485,182.0,16.8,0
486,203.0,14.2,1
487,206.1,14.4,1
488,192.4,14.4,0
489,211.5,11.3,1
490,211.1,11.0,1
491,218.6,8.6,0
492,215.6,13.1,1
493,215.9,9.2,1
494,197.4,8.8,1
495,223.3,12.4,0
496,210.2,10.5,1
497,203.7,8.4,0
498,214.4,15.0,0
499,199.8,15.5,0
500,208.2,7.8,0
501,220.5,6.1,0
502,228.8,9.7,0
503,230.7,14.8,0
504,207.7,15.2,0
505,208.6,7.5,0
506,224.0,14.5,0
507,197.3,7.3,0
508,226.1,10.3,0
509,207.2,17.0,0
510,186.4,8.1,0
511,184.0,7.7,0
512,226.3,10.7,0
513,183.1,12.8,0
514,195.4,16.3,0
515,198.4,16.8,0
516,189.5,6.8,0
517,197.3,7.5,1
518,220.8,14.7,0
519,180.8,9.0,0
520,225.5,15.7,0
521,227.1,13.3,0
522,200.5,7.2,0
523,188.4,15.2,0
524,213.0,7.9,0
525,186.6,10.7,0
526,200.1,12.1,1
527,232.7,11.5,0
528,234.8,13.5,0
529,222.5,13.2,1
530,197.1,16.9,0
531,217.8,17.0,0
532,218.8,11.7,1
533,201.3,7.0,0
534,215.2,14.0,0
535,180.6,16.7,0
536,191.5,9.5,1
537,208.9,11.1,1
538,189.0,10.7,1
539,189.1,6.6,0
540,226.0,13.4,0
541,234.4,9.9,0
542,210.6,14.7,0
543,226.1,15.2,0
544,234.5,15.0,0
545,187.8,10.6,0
546,204.7,9.5,1
547,201.6,14.2,1
548,184.4,14.8,0
549,221.5,11.4,0
550,203.9,15.8,0
551,205.8,7.6,1
552,188.3,15.7,0
553,190.0,7.1,0
554,229.9,7.7,0
555,182.5,11.9,0
556,192.8,6.7,0
557,196.1,6.6,0
558,207.0,6.0,0
559,212.3,10.8,1
560,207.1,14.5,0
561,184.6,6.4,0
562,193.4,13.2,1
563,226.4,15.1,0
564,215.1,7.8,1
565,215.7,7.6,0
566,216.9,15.5,0
567,222.0,15.1,0
568,183.2,11.9,0
569,200.2,15.0,0
570,209.7,7.0,1
571,198.6,10.3,1
572,226.4,14.1,0
573,206.5,8.8,1
574,222.3,14.3,0
575,226.9,11.5,0
576,207.8,14.3,1
577,230.0,11.1,0
578,212.3,10.0,1
579,226.8,8.4,0
580,198.7,8.3,1
581,207.4,14.3,0
582,209.2,7.3,1
583,185.8,6.9,0
584,201.9,7.9,1
585,230.5,7.9,0
586,214.7,15.1,0
587,189.8,10.4,1
588,198.6,16.9,0
589,190.5,7.5,0
590,181.4,13.2,0
591,231.0,10.9,0
592,204.7,10.3,1
593,196.9,15.6,0
594,212.9,16.7,0
595,180.4,15.6,0
596,195.3,8.1,0
597,218.7,8.4,1
598,214.9,13.2,1
599,234.0,9.2,0
600,214.1,14.1,1
